               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053849,              0.0104,            0.052965,             0.36362,            0.032028,             0.02806,            0.012248,            0.043394,           0.0064498,            0.046024,            0.070016,           0.0033315,           0.0033315
                   1,            0.042273,            0.010004,            0.043615,             0.50201,             0.17665,             0.16364,            0.076385,            0.040093,           0.0062535,            0.037797,            0.039356,            0.006005,            0.006005
                   2,            0.040833,           0.0098251,             0.03709,             0.53122,             0.25633,             0.25145,             0.12567,            0.039179,           0.0062724,             0.03213,           0.0080366,           0.0080186,           0.0080186
                   3,            0.040018,           0.0098272,            0.033624,             0.52338,             0.30346,             0.30532,             0.16466,            0.037556,            0.006193,            0.029093,             0.00703,             0.00703,             0.00703
                   4,            0.039296,           0.0097834,            0.031861,             0.56451,             0.33038,             0.34119,             0.19084,            0.036686,           0.0061334,            0.027374,             0.00703,             0.00703,             0.00703
                   5,             0.03856,           0.0097319,            0.030496,             0.56232,             0.36186,               0.371,             0.21216,            0.035882,           0.0060871,            0.026089,             0.00604,             0.00604,             0.00604
                   6,            0.037955,           0.0096607,            0.029378,              0.5809,             0.37677,             0.39047,             0.22782,            0.035316,           0.0060485,            0.025162,             0.00505,             0.00505,             0.00505
                   7,            0.037356,           0.0096076,            0.028387,             0.58247,             0.38918,             0.40445,             0.23784,            0.034929,           0.0060151,            0.024537,             0.00406,             0.00406,             0.00406
                   8,            0.036694,           0.0095602,             0.02741,             0.58922,             0.39567,             0.41259,             0.24511,            0.034694,           0.0059966,            0.024167,             0.00307,             0.00307,             0.00307
                   9,             0.03609,            0.009503,            0.026579,             0.59153,             0.40382,              0.4201,             0.25009,            0.034501,           0.0059851,             0.02388,             0.00208,             0.00208,             0.00208
